
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1916  85436 140824 181772    0    0     0     0    0   13  0  0 100  0  0
 0  0   1916  84444 140824 181776    0    0     0     0    1   41  0  0 100  0  0
 0  0   1916  83328 140824 181776    0    0     0     0    3  130  0  0 100  0  0
 0  0   1916  82336 140824 181776    0    0     0     0    0   21  0  0 100  0  0
 0  0   1916  81344 140824 181776    0    0     0     0    0   20  0  0 100  0  0
 0  0   1916  80228 140824 181776    0    0     0     0    6  179  0  0 100  0  0
 0  0   1916  79260 140832 181776    0    0     0    24    0   35  0  0 98  2  0
 0  0   1916  78268 140832 181776    0    0     0     0    0   20  0  0 100  0  0
 0  0   1916  77136 140832 181776    0    0     0     0    5  124  0  0 100  0  0
 0  0   1916  87048 140832 181776    0    0     0    12    0   41  0  0 100  0  0
 0  0   1916  87048 140832 181776    0    0     0     0    0   14  0  0 100  0  0
 0  0   1916  87056 140836 181776    0    0     0    12    4  196  0  0 83 18  0
 0  0   1916  87056 140836 181776    0    0     0     0    0   22  0  0 100  0  0
 0  0   1916  87056 140836 181776    0    0     0     0    0   20  0  0 100  0  0
 0  0   1916  87056 140836 181776    0    0     0     0    8  184  0  0 100  0  0


